OTU	F3D000	F3D001	F3D002	F3D003	F3D005	F3D006	F3D007	F3D008	F3D009	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150
184897 Faecalibacterium prausnitzii	1	0	0	1	1	4	1	10	12	22	2	6	10	11	36	12	5	0	0
185338 [Ruminococcus] gnavus	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
185441 [Ruminococcus] gnavus	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	2	1	0	0
186705 Akkermansia muciniphila	16	12	23	2	6	14	2	11	12	4	2	4	2	2	2	6	2	6	4
186752 Dorea formicigenerans	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187703 [Ruminococcus] gnavus	0	0	6	0	3	7	0	1	3	6	1	4	5	7	11	3	15	28	3
188090 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
188369 Pseudomonas stutzeri	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0
189284 Prevotella copri	2	1	17	0	6	5	1	1	9	4	1	7	0	1	4	6	4	18	8
189403 [Ruminococcus] gnavus	68	99	198	13	48	108	44	39	48	2	4	0	3	6	36	33	7	6	5
190675 Faecalibacterium prausnitzii	6	4	6	1	2	1	3	1	1	0	0	0	2	0	0	0	2	0	1
190698 Faecalibacterium prausnitzii	20	19	43	5	6	8	2	11	5	12	2	4	2	4	14	11	19	50	21
191097 Faecalibacterium prausnitzii	1	4	10	1	0	4	1	3	4	0	1	0	1	0	1	3	0	1	0
191258 Akkermansia muciniphila	27	33	41	9	0	21	3	8	14	56	11	21	9	17	22	42	41	145	88
191319 Prevotella copri	0	1	6	9	1	3	2	2	1	4	0	7	1	3	4	4	7	17	8
1918929 Zea luxurians	0	2	3	0	0	2	0	4	1	0	0	0	0	0	0	0	1	0	0
192680 Lactobacillus ruminis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192800 Faecalibacterium prausnitzii	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193014 Phormidium priestleyi	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
193675 Sinorhizobium terangae	3	15	36	4	11	15	5	13	20	7	3	2	1	8	17	17	5	10	9
194273 [Eubacterium] biforme	11	7	3	0	1	0	2	9	6	3	0	2	2	5	4	4	4	9	4
194384 Blautia producta	17	34	50	10	16	22	6	23	24	28	2	4	3	2	13	24	20	25	13
194489 Pseudomonas pseudoalcaligenes	135	150	966	303	150	194	169	221	347	268	57	70	33	95	49	61	411	420	95
194689 Streptomyces netropsis	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
195385 [Ruminococcus] gnavus	5	3	7	1	7	10	5	3	7	3	1	1	6	2	1	8	8	10	7
195421 [Ruminococcus] gnavus	2	0	0	0	0	1	0	0	1	0	0	1	2	1	6	4	6	8	1
195444 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	1	1	0
195474 Lysinibacillus boronitolerans	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0
195877 Alcanivorax dieselolei	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
196014 Collinsella aerofaciens	669	76	147	23	20	15	9	2	4	453	272	315	508	727	417	1737	1298	939	296
196488 Faecalibacterium prausnitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
196664 Bacteroides uniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
197072 Bacteroides uniformis	0	0	2	0	0	2	4	0	1	3	0	0	6	5	1	14	10	6	2
197361 Faecalibacterium prausnitzii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197763 Prevotella copri	4	9	21	4	4	9	1	5	6	9	6	7	3	9	1	27	17	15	3
197780 Pseudomonas veronii	12	14	24	5	7	10	4	8	8	0	3	0	1	1	2	7	3	0	0
198054 [Eubacterium] dolichum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0
198589 Bacillus halodurans	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198690 [Ruminococcus] gnavus	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
199597 Paenibacillus amylolyticus	3	4	7	4	7	1	2	13	9	4	1	0	1	0	2	1	4	9	2
199702 Faecalibacterium prausnitzii	9	22	76	16	34	36	31	37	50	9	1	3	4	5	8	8	9	20	7
204086 Nocardiopsis lucentensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
206290 Brevibacillus reuszeri	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207582 Faecalibacterium prausnitzii	370	124	424	227	150	376	250	190	273	306	209	202	318	519	268	1125	749	719	287
208399 Trabulsiella farmeri	1	6	41	13	7	13	12	4	6	11	6	2	8	7	5	24	26	13	7
208739 Faecalibacterium prausnitzii	6	0	12	1	2	1	0	0	0	9	5	6	20	19	7	46	26	15	2
208861 Faecalibacterium prausnitzii	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
210398 Leptospirillum ferrodiazotrophum	548	391	3376	942	303	992	631	256	483	430	273	217	398	597	300	1440	826	851	297
211372 Bacteroides ovatus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211478 Faecalibacterium prausnitzii	19	14	135	34	8	38	24	15	25	14	11	16	16	40	14	65	31	36	9
214234 Faecalibacterium prausnitzii	31	57	345	248	152	156	141	91	118	139	60	81	122	157	88	635	326	334	181
214827 Novosphingobium capsulatum	8	21	69	1	6	7	8	12	16	18	2	12	4	6	10	31	30	60	20
215083 Herminiimonas arsenicoxydans	5	0	6	6	6	5	9	5	10	5	0	1	1	3	1	4	3	10	0
2168897 Lactobacillus salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2169466 Bacteroides ovatus	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
219149 Staphylococcus sciuri	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0
2316721 Anoxybacillus kestanbolensis	6	2	7	1	4	5	0	5	7	2	0	0	2	1	2	5	3	5	5
233509 Pseudomonas stutzeri	27	31	191	53	36	46	36	42	67	41	13	12	3	23	7	10	76	78	10
238208 Lysinibacillus boronitolerans	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2429140 Sphingomonas wittichii	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	3	0
249229 Desulfovibrio mexicanus	3	15	8	0	3	6	2	3	3	1	0	0	2	2	0	4	3	2	0
258553 Candidatus Methylacidiphilum	9	0	3	0	0	0	0	0	0	5	7	6	0	6	15	14	12	9	4
258659 Desulfosporosinus meridiei	0	3	8	1	5	3	1	2	5	2	0	0	2	1	2	0	2	2	1
258711 [Ruminococcus] gnavus	8	4	11	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0
258745 Microbacterium aurum	3	5	0	0	0	1	0	3	2	0	1	0	0	0	0	0	0	0	0
259781 [Ruminococcus] gnavus	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	2	0
259985 Methylibium petroleiphilum	16	5	9	1	8	2	1	3	7	2	0	1	2	1	8	6	5	2	3
260088 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
260529 [Ruminococcus] gnavus	7	3	1	1	0	0	0	0	0	2	0	0	7	5	4	1	3	11	7
261798 Oscillatoria spongeliae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
262193 Brachymonas denitrificans	44	49	141	12	49	52	15	52	97	3	4	1	1	0	5	20	5	11	5
262537 [Ruminococcus] gnavus	2	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0
262540 Bosea genosp.	0	1	4	1	1	1	0	3	1	2	2	0	1	3	2	4	8	8	7
263138 [Ruminococcus] gnavus	1	3	1	0	0	1	0	0	1	26	5	7	4	4	8	25	20	67	46
263193 Pseudomonas pseudoalcaligenes	0	0	0	0	0	1	0	2	0	2	0	0	0	0	5	2	2	4	4
263327 [Ruminococcus] gnavus	4	5	9	2	4	4	0	3	5	0	1	0	1	0	8	8	2	4	2
263449 Erwinia chrysanthemi	72	67	75	7	40	47	9	31	40	19	6	12	16	14	21	9	8	40	27
263524 Ruminococcus flavefaciens	0	0	1	0	4	1	0	4	4	1	0	0	0	0	1	2	2	1	1
264063 Streptomyces aureofaciens	1	3	6	0	7	8	0	2	18	0	0	0	0	0	0	0	1	0	0
264702 Bacillus flexus	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	2
265983 Brachymonas chironomi	4	3	2	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0
266186 Bacillus endophyticus	3	5	0	0	1	0	0	4	2	1	0	0	0	1	2	5	1	6	2
267105 [Ruminococcus] gnavus	18	17	16	1	7	3	0	0	0	0	0	0	0	0	0	3	0	0	0
267335 [Ruminococcus] gnavus	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
267730 Sulfuricurvum kujiense	0	0	0	0	1	2	2	3	11	2	0	0	0	0	1	3	0	1	5
268061 Sphingobacterium multivorum	2	2	1	0	2	3	0	3	5	0	2	1	0	0	4	3	0	2	2
268395 Dietzia timorensis	4	15	11	3	10	8	4	12	12	10	3	8	0	2	7	33	4	16	11
268463 Bartonella washoensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
268628 Brachymonas denitrificans	1	14	9	1	10	4	1	7	24	3	1	1	1	2	6	1	2	2	0
269774 Psychrobacter pulmonis	0	0	0	0	0	1	0	0	0	0	0	1	2	0	4	9	19	29	8
269890 Desulfovibrio D168	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
270081 [Ruminococcus] gnavus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
270202 Muricola jejuensis	72	48	74	15	20	38	5	43	30	15	5	8	9	7	19	24	17	51	13
2704718 Gloeocapsopsis crepidinum	4	6	3	5	0	4	1	3	1	0	0	0	0	2	0	0	1	0	0
270758 [Ruminococcus] gnavus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
270763 Pseudomonas viridiflava	38	33	97	13	0	2	1	2	2	5	0	1	0	1	5	7	5	18	3
271191 [Ruminococcus] gnavus	3	16	43	1	11	13	1	8	9	0	1	0	0	0	0	0	1	4	0
271782 Alloactinosynnema alba	9	26	61	12	9	74	21	27	30	1	14	8	4	1	0	24	6	16	14
272189 Pseudomonas viridiflava	13	13	29	4	1	6	2	4	8	0	6	3	4	4	12	15	6	10	4
272593 [Ruminococcus] gnavus	5	2	12	0	1	1	0	3	6	0	2	4	4	1	4	6	2	2	1
272907 [Ruminococcus] gnavus	1	3	5	0	1	3	3	2	14	1	1	0	0	0	1	1	1	1	1
2730947 Bacteroides barnesiae	51	23	76	14	106	63	27	52	66	10	14	15	14	17	21	33	82	34	28
273179 [Ruminococcus] gnavus	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0
273232 Akkermansia muciniphila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273413 [Ruminococcus] gnavus	3	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
273601 Burkholderia gladioli	2	1	3	0	1	3	0	1	2	0	1	1	0	0	0	2	1	0	0
273647 Gluconacetobacter rhaeticus	21	25	39	3	17	23	13	22	46	7	12	7	8	8	8	36	8	28	18
273766 Veillonella parvula	2	6	7	0	1	6	1	2	7	0	0	0	2	1	3	0	0	2	2
273776 [Ruminococcus] gnavus	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
274491 [Ruminococcus] gnavus	8	12	44	2	9	10	3	11	14	0	3	2	2	7	11	7	14	20	19
2748889 Veillonella dispar	3	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
275268 Brachymonas denitrificans	0	2	10	0	3	4	0	3	4	0	0	0	0	0	0	1	0	2	0
275651 Luteimonas mephitis	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0
275708 Pseudomonas veronii	424	200	1121	425	263	560	407	327	457	308	145	185	271	487	233	859	560	696	365
276272 Serratia marcescens	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
276567 Staphylococcus equorum	2	5	10	0	2	3	3	7	1	0	0	0	1	1	1	1	0	0	2
276941 [Ruminococcus] gnavus	0	0	1	0	0	1	0	0	0	0	1	1	0	2	8	11	5	6	5
277184 [Ruminococcus] gnavus	0	0	1	0	0	3	0	1	0	1	0	0	0	0	1	0	0	1	1
277223 Pseudomonas viridiflava	2	6	3	0	0	1	0	6	3	0	0	0	0	0	0	0	0	0	0
277484 Flavobacterium succinicans	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278643 Stenotrophomonas maltophilia	3	1	8	0	2	0	0	4	2	0	0	1	1	0	6	0	1	2	3
2797563 [Ruminococcus] gnavus	0	0	1	0	0	1	0	0	2	6	0	1	2	3	1	2	2	8	0
285908 Janthinobacterium lividum	7	7	13	1	2	5	2	5	6	0	0	1	1	2	0	0	4	1	1
289622 Clostridium perfringens	82	0	1	0	0	0	0	0	0	5	3	2	4	8	1	15	19	7	4
289983 Prevotella copri	2	0	0	0	1	0	0	1	0	6	1	5	1	2	6	4	5	19	11
290799 Bacillus cereus	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
293077 Akkermansia muciniphila	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301584 Fibrobacter succinogenes	5	71	55	11	49	23	6	16	29	7	0	1	2	1	9	11	15	32	14
303076 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
304047 Bacteroides acidifaciens	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	2	1	0
3055791 Stenotrophomonas panacihumi	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1
305992 Carnobacterium viridans	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0
307376 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	12	7	28	18
307541 Bacteroides plebeius	18	14	54	35	10	29	20	14	20	14	11	12	22	32	11	45	29	31	21
308116 Bacteroides eggerthii	1	1	6	4	4	1	2	0	0	1	0	0	2	0	0	3	0	1	0
308224 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
310746 Bradyrhizobium elkanii	216	43	109	25	30	33	9	37	25	38	5	8	12	7	14	36	17	30	8
311039 Microbacterium maritypicum	18	17	30	3	2	6	0	1	2	2	0	0	2	2	6	4	2	4	2
311173 Helicobacter pullorum	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	1
312048 Faecalibacterium prausnitzii	11	2	24	5	20	16	9	15	30	4	1	2	3	5	7	8	17	12	4
313305 Leptospirillum ferrodiazotrophum	4	9	4	0	2	9	0	2	12	0	0	0	0	0	1	2	2	4	5
316549 Bacteroides uniformis	0	0	0	0	0	0	0	0	1	8	0	2	0	2	7	6	7	27	12
318047 Lactobacillus reuteri	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318182 [Ruminococcus] gnavus	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
319214 [Ruminococcus] gnavus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
319238 Bradyrhizobium elkanii	9	3	7	0	1	2	1	5	6	0	0	0	0	0	1	2	3	1	0
320373 [Ruminococcus] gnavus	2	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0
320841 Bacteroides acidifaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
321972 Bacteroides acidifaciens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322094 Acinetobacter johnsonii	40	132	90	6	40	18	7	48	84	28	4	5	9	10	26	14	17	30	15
322737 Lactobacillus agilis	0	0	1	0	0	5	1	0	0	0	0	0	1	0	1	6	1	0	1
322904 [Ruminococcus] gnavus	8	2	9	2	1	2	1	3	0	0	0	0	0	0	0	3	5	3	1
323557 Faecalibacterium prausnitzii	4	1	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
323619 Prevotella copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3245667 Vitis vinifera	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
325729 Bacteroides acidifaciens	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
327852 Lactobacillus reuteri	1	0	0	2	0	0	0	1	0	0	0	0	1	2	0	3	0	1	0
328755 Pleomorphomonas oryzae	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0
329660 Lactobacillus reuteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
332301 Tatumella morbirosei	0	0	0	0	1	1	0	0	2	0	0	0	0	0	4	1	0	1	1
333684 Lactobacillus reuteri	0	2	0	1	0	0	0	0	1	2	0	2	4	3	0	3	6	6	0
334742 Bacillus muralis	7	4	7	0	3	12	0	5	7	1	1	0	2	1	10	7	7	11	7
335167 Bacteroides acidifaciens	6	12	86	13	29	28	9	22	28	23	2	9	11	10	10	41	19	52	43
335523 Bacteroides ovatus	9	6	23	32	8	35	38	18	32	6	21	11	14	23	12	54	35	31	14
336731 Cupriavidus gilardii	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
338852 Lactobacillus reuteri	28	40	27	100	6	23	32	92	20	35	3	8	30	26	12	117	77	116	16
338916 Rhizobium giardinii	0	4	2	2	1	1	0	1	2	2	0	0	0	1	1	2	1	0	1
339092 [Ruminococcus] gnavus	0	0	0	0	17	9	3	21	29	0	0	0	0	1	10	7	8	5	3
3392853 [Ruminococcus] gnavus	1	1	1	0	1	2	1	1	1	0	0	1	1	2	0	2	5	0	0
339350 Clostridium hiranonis	6	20	17	2	1	3	2	6	2	8	0	1	0	2	3	0	1	16	8
340133 Acinetobacter johnsonii	0	0	1	0	18	11	1	16	24	3	1	0	0	3	8	5	3	3	5
3401807 [Ruminococcus] gnavus	0	1	0	0	2	1	0	1	0	0	0	0	0	1	1	1	1	4	2
340525 [Clostridium] glycolicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
340644 Desulfovibrio mexicanus	0	0	1	0	0	0	0	0	0	1	0	0	1	2	1	0	2	1	0
340716 Vibrio splendidus	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0
342072 Sphingobium xenophagum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
342403 Ruminococcus flavefaciens	2	0	4	1	2	1	0	1	2	0	0	0	0	1	1	0	2	3	0
344398 Bacteroides plebeius	87	289	344	47	78	51	35	43	92	29	9	7	10	13	24	64	44	37	19
344525 Bacteroides eggerthii	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
345038 Helicobacter equorum	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
347156 Acinetobacter johnsonii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
348772 [Ruminococcus] gnavus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350391 Acinetobacter johnsonii	60	45	143	11	11	26	7	41	22	5	4	2	2	8	8	8	9	36	9
352445 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
353340 Bradyrhizobium elkanii	0	1	6	1	2	3	0	2	3	1	0	1	0	0	0	2	1	3	5
355262 Bacteroides ovatus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0
356403 Clostridium hiranonis	5	17	30	1	5	13	1	7	8	0	0	2	0	0	2	1	0	1	1
356568 Methylotenera mobilis	1	1	6	0	1	2	0	0	2	0	0	0	0	0	0	0	1	0	0
356625 Prevotella copri	1	0	2	0	2	3	4	9	14	6	2	3	4	2	3	1	10	16	2
356655 Lactobacillus plantarum	4	2	6	0	6	2	1	2	4	15	3	9	2	3	7	2	18	28	22
35880 Pseudomonas veronii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3606814 Cocculus trilobus	2	6	29	2	0	20	9	22	18	0	0	0	0	1	0	0	1	0	0
363436 [Ruminococcus] gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
364334 Akkermansia muciniphila	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
365331 Akkermansia muciniphila	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3694686 Parabacteroides distasonis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
3696710 Blautia producta	0	2	4	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0
372096 Staphylococcus epidermidis	4	1	5	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0
383971 [Ruminococcus] gnavus	2	2	0	0	1	0	0	1	2	1	0	0	1	1	2	1	2	0	0
391286 Stenotrophomonas maltophilia	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	2	5	2	0
3998428 Propionibacterium acnes	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	1	2	0	0
411486 Lactobacillus reuteri	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
4115286 Bifidobacterium pseudolongum	3	0	0	0	0	0	0	0	0	1	2	1	2	0	0	1	9	2	0
422910 Simplicispira limi	38	82	235	69	38	305	78	102	132	7	72	29	8	16	4	110	11	57	40
428705 Staphylococcus equorum	12	10	29	0	10	8	1	13	20	1	3	6	2	5	13	14	7	6	3
430096 Acinetobacter johnsonii	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1
4329220 Kosmotoga mrcj	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
4337223 Bacteroides ovatus	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	1	2	0
